STOPID,STOP_NAME,CLEVERID,DIRECTION,TIMEPOINT,ROUTES_SER,ROUTES_COU,LATITUDE,LONGITUDE,MODE,SHELTER,STOP_TYPE,ON_AVWK_FY,OFF_AVWK_F,ON_AVWK__1,OFF_AVWK_1,AVGWKDY_DE
"E01540","FIFTH AVE AT PRIDE ST",3154,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438585,-79.984902,"Bus","No Shelter","Bus Stop",191.672239884,277.237250878,"192","277",1.29
"E01550","FIFTH AVE AT ROBINSON ST",2640,"Both","01457","93, P3",2,40.437655,-79.965223,"Bus","No Shelter","Bus Stop",13.9160584173,42.5790650036,"14","43",0.03
"E01560","FIFTH AVE AT MAURICE ST",19850,"Both","20121","54, 71A, 71B, 71C, 71D, 75, P3",7,40.437401,-79.965278,"Bus","No Shelter","Bus Stop",94.9591593197,30.4521189672,"95","30",0.03
"E01570","FIFTH AVE AT #2358",2556,"Both","N","54, 71A, 71B, 71C, 71D, 75",6,40.437055,-79.971135,"Bus","No Shelter","Bus Stop",17.9222388529,70.9413501292,"18","71",0.02
"E01640","FIFTH AVE AT SENECA ST",3250,"Outbound","N","71A, 71B, 71C, 71D",4,40.438022,-79.976035,"Bus","No Shelter","Bus Stop",50.1450712881,37.0401974044,"50","37",0.07
"E01650","FIFTH AVE AT SHADY AVE",8311,"Both","N","28X, 71D",2,40.452952,-79.920671,"Bus","No Shelter","Bus Stop",201.206085973,5.8404432688,"201","6",0.03
"E01660","FIFTH AVE AT SHADY AVE",8317,"Both","N","28X, 64, 71D",3,40.452814,-79.920807,"Bus","No Shelter","Bus Stop",49.9248251296,199.976439587,"50","200",0.01
"E01700","FIFTH AVE AT STEVENSON ST",3155,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438652,-79.986317,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",153.037808861,89.840448039,"153","90",0.72
"E01710","FIFTH AVE AT TENNYSON AVE",33,"Both","N","28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 93, P3",16,40.445676,-79.953221,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",613.322891627,885.042013896,"613","885",0.91
"E01720","FIFTH AVE OPP TENNYSON AVE",3253,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.445488,-79.953131,"Bus","No Shelter","Bus Stop",386.189517936,249.691578353,"386","250",0.31
"E01730","FIFTH AVE AT THACKERAY AVE",35,"Both","N","28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, 93, P3",18,40.443261,-79.956444,"Bus","No Shelter","Bus Stop",950.743270064,1875.60041966,"951","1876",1.26
"E01760","FIFTH AVE AT THOMAS BLVD",8320,"Both","N","28X, 71D, 88",3,40.454729,-79.911486,"Bus","No Shelter","Bus Stop",3.6210404439,56.0248133932,"4","56",0.01
"E01810","FIFTH AVE AT WASHINGTON PL",3157,"Inbound","N","61A, 61B, 61C, 61D, 65, 67, 69, 71A, 71B, 71C, 71D",11,40.438844,-79.990723,"Bus","No Shelter","Bus Stop",89.3740452371,263.663947712,"89","264",1.75
"E01820","FIFTH AVE AT WILKINS AVE FS",1179,"Both","N","28X, 71B, 71D",3,40.447738,-79.93697,"Bus","No Shelter","Bus Stop",13.6686959457,45.353775974,"14","45",0.01
"E01840","FIFTH AVE AT WYANDOTTE ST",3149,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438258,-79.977353,"Bus","No Shelter","Bus Stop",129.766646512,84.6559479026,"130","85",0.6
"E01860","FIFTH AVE OPP AMBERSON AVE",1178,"Both","N","28X, 71B, 71D",3,40.447534,-79.939104,"Bus","No Shelter","Bus Stop",13.1526850202,29.8940992968,"13","30",0
"E01870","FIFTH AVE AT ATWOOD STATION",36,"Both","00666","28X, 54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75",13,40.441802,-79.958488,"Bus","PAAC","Bus Stop with PAAC Shelter",1374.61885304,2734.34185281,"1375","2734",4.31
"E01890","FIFTH AVE OPP BEECHWOOD BLVD",8310,"Both","N","28X, 71D",2,40.453713,-79.915229,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",81.0128136393,5.30866851337,"81","5",0.01
"E01900","FIFTH AVE OPP BELLEFONTE ST",3256,"Both","N","28X, 71B, 71D",3,40.448788,-79.932562,"Bus","No Shelter","Bus Stop",20.5042366489,213.223951418,"21","213",0.03
"E01910","FIFTH AVE OPP BRENHAM ST",2558,"Both","N","54, 71A, 71B, 71C, 71D, 75",6,40.436341,-79.968608,"Bus","No Shelter","Bus Stop",2.56399997545,1.5419574178,"3","2",0
"E01920","FIFTH AVE OPP CLYDE ST",1176,"Outbound","N","58, 71B, 71D",3,40.447089,-79.945377,"Bus","No Shelter","Bus Stop",90.6495202152,22.1776852592,"91","22",0
"E01930","FIFTH AVE OPP COLLEGE ST",3259,"Both","N","28X, 64, 71B, 71D",4,40.451087,-79.925842,"Bus","No Shelter","Bus Stop",21.7765885457,66.8355199591,"22","67",0.01
"E01940","FIFTH AVE OPP CRAFT AVE (CARLOW UNIV)",2639,"Both","N","28X, 54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, P3",16,40.437916,-79.963899,"Bus","No Shelter","Bus Stop",270.695075293,389.365822804,"271","389",0.87
"E01960","FIFTH AVE OPP GIST ST",3150,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.43834,-79.979468,"Bus","No Shelter","Bus Stop",39.7542028889,39.4858298707,"40","39",0.07
"E01980","FIFTH AVE OPP HIGHLAND AVE",8316,"Both","20024","28X, 64, 71D",3,40.451835,-79.924005,"Bus","No Shelter","Bus Stop",25.8119554421,87.3652602632,"26","87",0.01
"E01990","FIFTH AVE OPP MARYLAND AVE",3258,"Both","N","28X, 64, 71B, 71D",4,40.450432,-79.927451,"Bus","No Shelter","Bus Stop",19.8868669678,169.915046507,"20","170",0.05
"E02010","FIFTH AVE OPP #2410 (ACTA PROGRAM)",2643,"Both","N","54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83",14,40.436903,-79.970166,"Bus","No Shelter","Bus Stop",1.04911606908,1.77951153012,"1","2",0
"E02030","FIFTH AVE OPP #2358",2644,"Both","N","54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83",14,40.437175,-79.970989,"Bus","No Shelter","Bus Stop",74.1046714191,22.1634906186,"74","22",0.35
"E02040","FIFTH AVE OPP SENECA ST",3148,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438199,-79.975867,"Bus","No Shelter","Bus Stop",48.0753718458,44.3076038785,"48","44",0.05
"E02050","FIFTH AVE OPP THACKERAY AVE",2566,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.443079,-79.956461,"Bus","No Shelter","Bus Stop",986.359003542,405.567181162,"986","406",0.42
"E02080","FIFTH AVE OPP VAN BRAAM ST",3152,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438504,-79.982631,"Bus","No Shelter","Bus Stop",48.3527094977,46.2802732605,"48","46",0.04
"E02090","FIFTH AVE OPP WILKINS AVE",1165,"Both","N","28X, 71B, 71D",3,40.447846,-79.93705,"Bus","No Shelter","Bus Stop",45.4495511646,10.8229663048,"45","11",0
"E02110","5TH ST AT CAVIT AVE",7858,"Inbound","N","69, P69",2,40.385732,-79.76009,"Bus","No Shelter","Bus Stop",6.19018988127,0.120984570124,"6","0",0.01
"E02245","6TH ST AT BALDRIDGE AVE",12567,"Inbound","N","59, 61A, 61B",3,40.405727,-79.863519,"Bus","No Shelter","Bus Stop",20.2875144126,14.1586089033,"20","14",0.1
"E02430","7TH ST AT PROSPECT AVE",20792,"Inbound","N","69, P69",2,40.386382,-79.752605,"Bus","No Shelter","Bus Stop",2.25936104438,0.0636853832442,"2","0",0
"E02770","ABER RD AT GROVE RD",8846,"Both","N","79, P17",2,40.467845,-79.865294,"Bus","No Shelter","Bus Stop",23.7889962444,7.51940638473,"24","8",0
"E02790","ABER RD AT #8077",8845,"Both","N","79, P17",2,40.469171,-79.862215,"Bus","No Shelter","Bus Stop",2.88903349258,1.83878644875,"3","2",0
"E02810","ABER RD AT #8141",8844,"Both","N","79, P17",2,40.471007,-79.861553,"Bus","No Shelter","Bus Stop",1.16752721523,0.970317835154,"1","1",0
"E02850","ABER RD AT URBAN DR",8847,"Both","N","79, P17",2,40.467325,-79.86936,"Bus","No Shelter","Bus Stop",3.45204613399,4.14690109709,"3","4",0
"E02870","ABER RD OPP HARVEST DR",8843,"Both","N","79, P17",2,40.47345,-79.861848,"Bus","No Shelter","Bus Stop",7.62559225891,6.42794700031,"8","6",0
"E02890","ADELAIDE ST AT CAMP ST",9057,"Inbound","N","83",1,40.453361,-79.957913,"Bus","No Shelter","Bus Stop",5.91632254462,5.24558390697,"6","5",0
"E02900","ADELAIDE ST AT IOWA ST FS",19491,"Inbound","N","83",1,40.452942,-79.956694,"Bus","No Shelter","Bus Stop",2.81773688754,3.28586301598,"3","3",0
"E02910","ADELAIDE ST AT MILWAUKEE ST",9002,"Inbound","00842","83",1,40.454627,-79.960621,"Bus","No Shelter","Bus Stop",6.45960597563,6.59907166134,"6","7",0.01
"E02925","AIKEN AVE AT BROAD ST",9254,"Outbound","N","89",1,40.465602,-79.935889,"Bus","No Shelter","Bus Stop",0.816129375155,3.27951827987,"1","3",0
"E02929","AIKEN AVE AT KINCAID ST",9253,"Outbound","N","89",1,40.4663,-79.935476,"Bus","No Shelter","Bus Stop",2.10363703995,6.00443105804,"2","6",0
"E02930","AIKEN AVE AT PENN AVE",9255,"Outbound","N","89",1,40.464749,-79.936442,"Bus","No Shelter","Bus Stop",2.54162109093,7.57092905412,"3","8",0
"E02931","AIKEN AVE AT ROSETTA ST",9252,"Outbound","N","89",1,40.467044,-79.935035,"Bus","No Shelter","Bus Stop",0.536974154639,1.07693366341,"1","1",0
"E02940","AIRBRAKE AVE AT 11TH ST",7775,"Inbound","N","69, P69",2,40.403305,-79.822897,"Bus","No Shelter","Bus Stop",3.04599747802,0.646120447285,"3","1",0.03
"E02980","AIRBRAKE AVE OPP 5TH ST",7832,"Outbound","N","69, P69",2,40.400914,-79.817766,"Bus","No Shelter","Bus Stop",0.678606646882,3.47297112334,"1","3",0
"E02990","AIRBRAKE AVE AT 7TH ST",7772,"Inbound","N","69, P69",2,40.401772,-79.819274,"Bus","No Shelter","Bus Stop",3.23143031015,0.326183649911,"3","0",0
"E03000","AIRBRAKE AVE OPP 7TH ST",7831,"Outbound","N","69, P69",2,40.401711,-79.819632,"Bus","No Shelter","Bus Stop",0.201873385013,2.03211297027,"0","2",0
"E03010","AIRBRAKE AVE AT 9TH ST",7773,"Inbound","N","69, P69",2,40.402552,-79.821087,"Bus","No Shelter","Bus Stop",0.682653913485,0.175720945721,"1","0",0
"E03020","AIRBRAKE AVE AT BRIDGE ST",7839,"Outbound","01341","69, P69",2,40.395271,-79.805455,"Bus","PAAC","Bus Stop with PAAC Shelter",2.05100384455,11.7372848163,"2","12",0
"E03030","PENN AVE AT GRANT ST",20104,"Inbound","N","59, 69, P69",3,40.404772,-79.825691,"Bus","No Shelter","Bus Stop",21.7376805453,31.7662490762,"22","32",0.08
"E03080","AIRBRAKE AVE OPP 10TH ST",7829,"Outbound","N","69, P69",2,40.402855,-79.822301,"Bus","No Shelter","Bus Stop",0.295939916749,0.191980777866,"0","0",0
"E03100","AIRBRAKE AVE OPP 11TH ST",7828,"Outbound","N","69, P69",2,40.403263,-79.823211,"Bus","No Shelter","Bus Stop",1.43261746769,3.07470377773,"1","3",0.01
"E03120","AIRBRAKE AVE OPP 1ST ST",7836,"Outbound","N","69, P69",2,40.39791,-79.813122,"Bus","No Shelter","Bus Stop",0.592031712464,3.72192029464,"1","4",0
"E03140","AIRBRAKE AVE OPP 2ND ST",7835,"Outbound","N","69, P69",2,40.399453,-79.81543,"Bus","No Shelter","Bus Stop",0.865858212656,2.77603817465,"1","3",0
"E03150","AIRBRAKE AVE OPP 3RD ST",7834,"Outbound","N","69, P69",2,40.399966,-79.816231,"Bus","No Shelter","Bus Stop",0.0113286713287,0.722199856198,"0","1",0
"E03200","AIRBRAKE AVE OPP 9TH ST",7830,"Outbound","N","69, P69",2,40.402465,-79.82138,"Bus","No Shelter","Bus Stop",0.130567529516,1.46334828542,"0","1",0
"E03240","AIRBRAKE AVE AT MILLER ST",7838,"Outbound","N","69, P69",2,40.395321,-79.806449,"Bus","No Shelter","Bus Stop",0.404034893792,11.350547334,"0","11",0
"E03260","AIRBRAKE AVE OPP #620",17182,"Outbound","N","69, P69",2,40.396613,-79.811139,"Bus","No Shelter","Bus Stop",1.38361781476,5.83454534726,"1","6",0
"E03270","AIRBRAKE AVE AT 10TH ST",7774,"Inbound","N","69, P69",2,40.402928,-79.821978,"Bus","No Shelter","Bus Stop",1.35433006515,0.278243145743,"1","0",0.01
"E03273","ALBERT ST AT MAPLE AVE",8085,"Inbound","00689","68, P68",2,40.408014,-79.819737,"Bus","No Shelter","Bus Stop",14.0265529704,1.83754553031,"14","2",0.02
"E03277","ALCOMA BLVD AT TURNAROUND",20696,"Both","03105","77",1,40.485243,-79.799472,"Bus","No Shelter","Bus Stop",26.2760974238,22.9474829064,"26","23",1.05
"E03285","ALCOMA BLVD AT SALTSBURG RD",20697,"Both","N","77",1,40.481461,-79.804732,"Bus","No Shelter","Bus Stop",1.67357233187,1.26131380634,"2","1",0
"E03290","ALGER ST AT WINTERBURN AVE",12232,"Inbound","N","58",1,40.427079,-79.939696,"Bus","No Shelter","Bus Stop",1.03808725528,7.90768825943,"1","8",0
"E03320","ALLEGHENY RIVER BLVD AT CENTER AVE",14319,"Inbound","03051","P78",1,40.506701,-79.842993,"Bus","PAAC","Bus Stop with PAAC Shelter",24.6667294867,1.37431182236,"25","1",0.03
"E03330","ALLEGHENY RIVER BLVD AT CENTER AVE FS",19435,"Outbound","20085","P78",1,40.506731,-79.842726,"Bus","No Shelter","Bus Stop",0.90264215309,13.5926217939,"1","14",0
"E03450","ALLEGHENY RIVER BLVD AT PLUM ST FS",19176,"Outbound","N","P78",1,40.512352,-79.843259,"Bus","No Shelter","Bus Stop",0.655094804838,8.14176809898,"1","8",0
"E03550","ALLEGHENY RIVER BLVD AT SELDON AVE FS",19177,"Outbound","N","P78",1,40.508317,-79.842505,"Bus","No Shelter","Bus Stop",0.0306909653814,2.61479387453,"0","3",0
"E03560","ALLEGHENY RIVER BLVD AT SOUTH AVE",14320,"Inbound","N","P78",1,40.504958,-79.843257,"Bus","No Shelter","Bus Stop",19.365592495,1.7148572198,"19","2",0.01
"E03570","ALLEGHENY RIVER BLVD AT SOUTH AVE",14456,"Outbound","N","P78",1,40.504668,-79.84301,"Bus","No Shelter","Bus Stop",3.36287599545,21.4796728748,"3","21",0.04
"E03900","ALLEQUIPPA ST OPP DARRAGH ST",8654,"Outbound","N","83",1,40.443451,-79.965005,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",3.4545884127,12.1049992218,"3","12",0.03
"E03910","ALLEQUIPPA ST AT DARRAGH ST",8649,"Inbound","N","83",1,40.443093,-79.965236,"Bus","No Shelter","Bus Stop",1.8033800906,8.10955832146,"2","8",0
"E03926","ALLEQUIPPA ST AT WHITRIDGE ST",16023,"Inbound","N","83",1,40.440978,-79.968041,"Bus","No Shelter","Bus Stop",1.35813656006,5.51374807889,"1","6",0.02
"E03927","ALLEQUIPPA ST AT SR RESIDENCE (#2418)",16022,"Inbound","03031","83",1,40.440552,-79.968589,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",15.116317268,21.3323905347,"15","21",0.06
"E03930","ALLEQUIPPA ST OPP SUTHERLAND DR FS",8653,"Outbound","N","83",1,40.44448,-79.96362,"Bus","No Shelter","Bus Stop",0.266874747187,7.78834885324,"0","8",0.03
"E03940","ALLEQUIPPA ST AT SUTHERLAND DR (PETERSEN CTR)",8650,"Inbound","N","83",1,40.444461,-79.963421,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",11.0098526117,28.9728736097,"11","29",0.03
"E04140","ARDMORE BLVD OPP AVE B (PARK AND RIDE)",7816,"Outbound","N","59, 69, P69, P76",4,40.413188,-79.845313,"Bus","No Shelter","Bus Stop",4.42971428096,90.5868673313,"4","91",0.13
"E04150","ARDMORE BLVD AT AVE B (PARK AND RIDE)",7785,"Inbound","N","59, 69, P69, P76",4,40.41307,-79.84481,"Bus","No Shelter","Bus Stop",107.388908544,6.58757669536,"107","7",0.08
"E04160","ARDMORE BLVD AT BERKLEY AVE",7352,"Outbound","N","69, P69, P76",3,40.419769,-79.850458,"Bus","No Shelter","Bus Stop",2.70039992882,41.5089880526,"3","42",0
"E04170","ARDMORE BLVD AT BEVINGTON RD FS",7811,"Outbound","N","69, P69, P76",3,40.426604,-79.862902,"Bus","No Shelter","Bus Stop",1.48172772105,16.4379427759,"1","16",0
"E04180","ARDMORE BLVD AT BRADDOCK RD",7787,"Inbound","N","69, P69, P76",3,40.424665,-79.859114,"Bus","No Shelter","Bus Stop",22.533157739,2.58097944683,"23","3",0
"E04190","ARDMORE BLVD AT BRADDOCK RD",7813,"Outbound","N","69, P69, P76",3,40.42457,-79.859796,"Bus","No Shelter","Bus Stop",1.35928289468,15.3250862159,"1","15",0
"E04210","ARDMORE BLVD AT BRINTON RD",7808,"Outbound","N","68, 69, P68, P69, P76",5,40.435554,-79.871769,"Bus","No Shelter","Bus Stop",5.99915145945,18.3236678087,"6","18",0
